"Table with row headers in column A, L, W, AH, AS, BD, BO, BZ, CK, CV, and DG, and column headers in rows 6 through 8 and 45 through 47.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1.  State-to-State Migration Flows1: 2019,,,,,,,,,,,Table 1.  State-to-State Migration Flows1: 2019,,,,,,,,,,,Table 1.  State-to-State Migration Flows1: 2019,,,,,,,,,,,Table 1.  State-to-State Migration Flows1: 2019,,,,,,,,,,,Table 1.  State-to-State Migration Flows1: 2019,,,,,,,,,,,Table 1.  State-to-State Migration Flows1: 2019,,,,,,,,,,,Table 1.  State-to-State Migration Flows1: 2019,,,,,,,,,,,Table 1.  State-to-State Migration Flows1: 2019,,,,,,,,,,,Table 1.  State-to-State Migration Flows1: 2019,,,,,,,,,,,Table 1.  State-to-State Migration Flows1: 2019,,,,,,,,,,,Table 1.  State-to-State Migration Flows1: 2019,,,,,,,,,,,Table 1.  State-to-State Migration Flows1: 2019,,,,,,,,
Dataset: 2019 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2019 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2019 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2019 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2019 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2019 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2019 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2019 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2019 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2019 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2019 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2019 American Community Survey 1-Year Estimates,,,,,,,,
Universe: Population 1 year and over,,,,,,,,,,,Universe: Population 1 year and over,,,,,,,,,,,Universe: Population 1 year and over,,,,,,,,,,,Universe: Population 1 year and over,,,,,,,,,,,Universe: Population 1 year and over,,,,,,,,,,,Universe: Population 1 year and over,,,,,,,,,,,Universe: Population 1 year and over,,,,,,,,,,,Universe: Population 1 year and over,,,,,,,,,,,Universe: Population 1 year and over,,,,,,,,,,,Universe: Population 1 year and over,,,,,,,,,,,Universe: Population 1 year and over,,,,,,,,,,,Universe: Population 1 year and over,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current residence in,Population 1 year and over,,Same house 1 year ago,,Same state of residence 1 year ago,,Different state of residence 1 year ago,,,,Current residence in,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence in,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence in,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence in,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence in,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence in,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence in,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence in,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence in,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence in,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence in,Abroad 1 year ago,,,,,,,
,,,,,,,Total,,Alabama,,,Alaska,,Arizona,,Arkansas,,California,,Colorado,,,Connecticut,,Delaware,,District of Columbia ,,Florida,,Georgia,,,Hawaii,,Idaho,,Illinois,,Indiana,,Iowa,,,Kansas,,Kentucky,,Louisiana,,Maine,,Maryland,,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,Missouri,,,Montana,,Nebraska,,Nevada,,New Hampshire,,New Jersey,,,New Mexico,,New York,,North Carolina,,North Dakota,,Ohio,,,Oklahoma,,Oregon,,Pennsylvania,,Rhode Island,,South Carolina,,,South Dakota,,Tennessee,,Texas,,Utah,,Vermont,,,Virginia,,Washington,,West Virginia,,Wisconsin,,Wyoming,,,Total,,Puerto Rico,,U.S. Island Area,,Foreign Country,
,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States2,"324,665,523","+/- 30,094","280,343,146","+/- 195,001","35,013,848","+/- 178,044","7,398,337","+/- 64,485","98,704","+/- 8,472",United States2,"50,134","+/- 6,603","173,631","+/- 9,972","64,524","+/- 7,584","653,551","+/- 22,860","198,416","+/- 13,445",United States2,"105,243","+/- 7,729","28,367","+/- 4,789","52,084","+/- 4,742","457,301","+/- 18,637","253,565","+/- 14,567",United States2,"68,417","+/- 7,823","54,826","+/- 6,028","308,179","+/- 16,304","142,441","+/- 10,862","74,697","+/- 6,841",United States2,"88,983","+/- 6,862","101,061","+/- 6,781","95,887","+/- 9,278","38,267","+/- 4,870","183,299","+/- 12,532",United States2,"178,104","+/- 10,098","152,365","+/- 8,444","114,258","+/- 7,723","60,094","+/- 7,516","135,762","+/- 11,182",United States2,"39,242","+/- 4,693","52,425","+/- 7,474","105,357","+/- 9,235","42,162","+/- 4,609","229,484","+/- 11,928",United States2,"71,212","+/- 9,201","439,708","+/- 16,126","255,346","+/- 12,632","29,871","+/- 4,441","192,506","+/- 11,716",United States2,"85,599","+/- 8,173","115,723","+/- 8,980","256,901","+/- 12,569","31,137","+/- 4,742","129,227","+/- 9,759",United States2,"27,542","+/- 3,699","156,558","+/- 11,318","453,015","+/- 17,659","88,426","+/- 7,445","22,714","+/- 3,771",United States2,"276,849","+/- 14,134","199,758","+/- 11,633","40,460","+/- 5,227","101,668","+/- 7,576","23,287","+/- 4,468",United States2,"1,910,192","+/- 39,481","66,021","+/- 9,911","15,276","+/- 3,033","1,828,895","+/- 40,180"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,"4,849,509","+/- 3,840","4,197,698","+/- 21,706","534,842","+/- 20,556","104,780","+/- 8,007",N/A,N/A,Alabama,"1,105",+/- 776,904,+/- 591,813,+/- 569,"3,690","+/- 1,160","2,042",+/- 941,Alabama,705,+/- 679,0,+/- 206,248,+/- 256,"15,519","+/- 3,848","13,993","+/- 2,746",Alabama,668,+/- 594,0,+/- 206,"1,962",+/- 710,"3,451","+/- 2,633",722,+/- 832,Alabama,"1,212",+/- 845,"1,500",+/- 685,"3,789","+/- 1,924",140,+/- 178,808,+/- 719,Alabama,"1,452",+/- 835,"1,893",+/- 889,41,+/- 51,"4,377","+/- 1,500",864,+/- 411,Alabama,151,+/- 212,386,+/- 479,771,+/- 556,176,+/- 173,599,+/- 404,Alabama,53,+/- 96,"1,996",+/- 903,"3,597","+/- 1,768",17,+/- 29,"2,364","+/- 1,082",Alabama,541,+/- 478,245,+/- 246,"2,336","+/- 1,331",257,+/- 264,"2,448","+/- 1,135",Alabama,0,+/- 206,"9,970","+/- 2,066","8,405","+/- 2,507","2,083","+/- 1,517",0,+/- 206,Alabama,"2,876",+/- 986,"1,883","+/- 1,532",421,+/- 403,"1,307",+/- 836,0,+/- 206,Alabama,"12,189","+/- 2,368",338,+/- 500,103,+/- 136,"11,748","+/- 2,284"
Alaska,"722,063","+/- 1,360","609,362","+/- 7,734","74,375","+/- 6,681","34,031","+/- 4,202",260,+/- 246,Alaska,N/A,N/A,886,+/- 530,12,+/- 22,"2,547","+/- 1,004",685,+/- 368,Alaska,153,+/- 127,224,+/- 277,69,+/- 90,"2,473","+/- 1,357",743,+/- 567,Alaska,217,+/- 239,"1,644","+/- 1,374",952,+/- 846,0,+/- 163,143,+/- 233,Alaska,"1,296","+/- 1,260","1,017","+/- 1,166",529,+/- 409,77,+/- 94,339,+/- 422,Alaska,515,+/- 417,310,+/- 295,417,+/- 550,86,+/- 152,890,+/- 822,Alaska,113,+/- 146,1,+/- 4,986,+/- 731,0,+/- 163,0,+/- 163,Alaska,878,+/- 751,329,+/- 287,"2,557","+/- 2,303",187,+/- 268,29,+/- 51,Alaska,359,+/- 341,750,+/- 358,385,+/- 265,0,+/- 163,448,+/- 434,Alaska,280,+/- 248,301,+/- 306,"4,332","+/- 2,059","1,092",+/- 636,44,+/- 75,Alaska,"2,216","+/- 1,046","1,435",+/- 566,355,+/- 463,228,+/- 270,242,+/- 196,Alaska,"4,295","+/- 1,721",37,+/- 61,17,+/- 30,"4,241","+/- 1,718"
Arizona,"7,200,620","+/- 6,015","6,038,776","+/- 31,879","861,935","+/- 26,584","253,295","+/- 12,249","1,750","+/- 1,004",Arizona,"1,561",+/- 830,N/A,N/A,"1,022",+/- 730,"59,713","+/- 6,458","14,684","+/- 4,849",Arizona,895,+/- 556,653,+/- 850,239,+/- 209,"7,358","+/- 2,326","3,947","+/- 1,348",Arizona,"4,942","+/- 2,017","2,961","+/- 1,258","10,915","+/- 2,290","3,156","+/- 1,087","2,982","+/- 1,107",Arizona,"3,742","+/- 1,369",383,+/- 347,"1,650",+/- 972,218,+/- 225,"1,905",+/- 894,Arizona,"2,745",+/- 920,"7,914","+/- 2,393","5,868","+/- 1,595",393,+/- 358,"2,248",+/- 859,Arizona,"1,636",+/- 717,"2,307","+/- 1,563","7,514","+/- 2,223",392,+/- 260,"3,221","+/- 1,473",Arizona,"7,251","+/- 1,912","6,079","+/- 1,484","4,038","+/- 2,332","1,012",+/- 555,"5,178","+/- 1,509",Arizona,"2,042","+/- 1,158","6,979","+/- 2,070","4,906","+/- 2,023",227,+/- 244,304,+/- 299,Arizona,989,+/- 623,"2,253","+/- 1,067","17,482","+/- 3,105","8,917","+/- 2,229",662,+/- 664,Arizona,"3,837","+/- 1,670","17,636","+/- 3,237",237,+/- 314,"3,688","+/- 1,335",664,+/- 434,Arizona,"46,614","+/- 6,437",970,+/- 909,152,+/- 167,"45,492","+/- 6,240"
Arkansas,"2,989,054","+/- 2,800","2,559,444","+/- 15,248","361,762","+/- 13,847","59,723","+/- 6,369",636,+/- 389,Arkansas,98,+/- 168,692,+/- 296,N/A,N/A,"4,967","+/- 1,806","1,585","+/- 1,123",Arkansas,87,+/- 151,0,+/- 206,295,+/- 481,"2,118",+/- 988,"1,352",+/- 976,Arkansas,118,+/- 129,157,+/- 267,"1,308",+/- 589,438,+/- 379,674,+/- 733,Arkansas,"1,139",+/- 657,265,+/- 288,"4,089","+/- 2,718",39,+/- 68,535,+/- 446,Arkansas,97,+/- 128,820,+/- 519,"1,142","+/- 1,002","1,867",+/- 883,"4,368","+/- 1,458",Arkansas,74,+/- 128,380,+/- 284,962,+/- 677,0,+/- 206,420,+/- 393,Arkansas,0,+/- 206,642,+/- 561,369,+/- 367,39,+/- 69,569,+/- 373,Arkansas,"5,826","+/- 1,993",501,+/- 496,533,+/- 520,0,+/- 206,443,+/- 395,Arkansas,0,+/- 206,"3,237","+/- 1,281","12,851","+/- 3,513",710,+/- 823,0,+/- 206,Arkansas,671,+/- 521,571,+/- 412,133,+/- 135,797,+/- 809,"1,109","+/- 1,536",Arkansas,"8,125","+/- 2,729",302,+/- 446,0,+/- 206,"7,823","+/- 2,588"
California,"39,084,048","+/- 10,760","34,394,220","+/- 68,574","3,943,139","+/- 61,711","480,204","+/- 18,764","3,310","+/- 1,660",California,"5,064","+/- 2,234","28,226","+/- 3,739","3,104","+/- 1,556",N/A,N/A,"15,085","+/- 2,648",California,"4,067","+/- 1,623","1,630","+/- 1,349","3,075","+/- 1,070","22,692","+/- 3,272","14,496","+/- 3,204",California,"11,985","+/- 3,032","4,372","+/- 1,590","24,085","+/- 4,126","4,923","+/- 1,256","1,956",+/- 849,California,"2,941","+/- 1,066","2,606",+/- 993,"5,347","+/- 1,763","2,335","+/- 1,277","11,775","+/- 3,503",California,"16,158","+/- 2,839","6,406","+/- 1,791","8,951","+/- 2,425","2,354","+/- 1,255","7,638","+/- 2,737",California,"1,974",+/- 826,"2,587","+/- 2,585","26,433","+/- 4,173",709,+/- 453,"10,812","+/- 2,144",California,"3,418","+/- 1,235","37,567","+/- 5,055","13,863","+/- 2,982",710,+/- 408,"9,098","+/- 2,997",California,"3,747","+/- 1,386","17,265","+/- 3,483","12,578","+/- 2,258","2,839","+/- 1,671","5,803","+/- 1,844",California,"1,345",+/- 964,"5,863","+/- 2,962","37,063","+/- 4,362","8,504","+/- 2,582",784,+/- 415,California,"24,506","+/- 4,749","31,882","+/- 4,810",303,+/- 296,"4,811","+/- 1,442","1,159",+/- 593,California,"266,485","+/- 12,302","1,780","+/- 1,200","2,887","+/- 1,563","261,818","+/- 11,940"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
