"Table with row headers in column A, L, W, AH, AS, BD, BO, BZ, CK, CV, and DG, and column headers in rows 6 through 8 and 46 through 48.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table.  Movers Within and Between States, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Table.  Movers Within and Between States, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Table.  Movers Within and Between States, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Table.  Movers Within and Between States, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Table.  Movers Within and Between States, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Table.  Movers Within and Between States, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Table.  Movers Within and Between States, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Table.  Movers Within and Between States, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Table.  Movers Within and Between States, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Table.  Movers Within and Between States, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Table.  Movers Within and Between States, the District of Columbia, and Puerto Rico",,,,
Dataset: 2006 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2006 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2006 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2006 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2006 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2006 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2006 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2006 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2006 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2006 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2006 American Community Survey 1-Year Estimates,,,,
"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,
,Alabama,,Alaska,,Arizona,,Arkansas,,California,,,Colorado,,Connecticut,,Delaware,,District of Columbia ,,Florida,,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Puerto Rico,,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,,Wisconsin,,Wyoming,
,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,"593,683 ","+/- 19,539",392 ,+/- 299,"1,304 ",+/- 900,"1,811 ","+/- 1,077","5,984 ","+/- 2,126",Alabama,"1,158 ",+/- 721,213 ,+/- 191,392 ,+/- 587,245 ,+/- 183,"19,258 ","+/- 3,784",Alabama,"21,146 ","+/- 3,075",352 ,+/- 254,53 ,+/- 89,"4,666 ","+/- 1,728","3,178 ","+/- 1,267",Alabama,893 ,+/- 699,381 ,+/- 457,"3,267 ","+/- 1,311","10,034 ","+/- 3,302",304 ,+/- 401,Alabama,739 ,+/- 469,397 ,+/- 484,"4,128 ","+/- 1,677",333 ,+/- 323,"11,325 ","+/- 2,456",Alabama,"2,271 ","+/- 1,013",0 ,+/- 265,66 ,+/- 90,181 ,+/- 209,101 ,+/- 128,Alabama,"1,035 ",+/- 669,311 ,+/- 263,"3,732 ","+/- 1,746","3,926 ","+/- 1,356",326 ,+/- 403,Alabama,"4,535 ","+/- 2,048","1,757 ","+/- 1,202",113 ,+/- 186,"1,277 ",+/- 800,301 ,+/- 263,Alabama,0 ,+/- 265,"1,679 ",+/- 740,53 ,+/- 89,"8,241 ","+/- 2,333","8,457 ","+/- 1,903",Alabama,"1,387 ","+/- 1,457",351 ,+/- 595,"2,316 ",+/- 757,"1,529 ","+/- 1,033",154 ,+/- 168,Alabama,"1,501 ","+/- 1,259",519 ,+/- 690
Alaska,751 ,+/- 699,"102,086 ","+/- 7,495","1,190 ",+/- 711,503 ,+/- 723,"3,353 ","+/- 1,375",Alaska,968 ,+/- 708,498 ,+/- 470,0 ,+/- 235,0 ,+/- 235,940 ,+/- 588,Alaska,"1,602 ","+/- 1,062","1,190 ",+/- 967,662 ,+/- 539,349 ,+/- 351,447 ,+/- 695,Alaska,377 ,+/- 446,293 ,+/- 367,241 ,+/- 292,332 ,+/- 322,119 ,+/- 148,Alaska,117 ,+/- 155,740 ,+/- 489,346 ,+/- 277,"1,216 ",+/- 838,396 ,+/- 443,Alaska,476 ,+/- 524,729 ,+/- 410,"1,087 ","+/- 1,496","1,344 ","+/- 1,134",62 ,+/- 105,Alaska,153 ,+/- 206,14 ,+/- 25,809 ,+/- 566,966 ,+/- 798,0 ,+/- 235,Alaska,556 ,+/- 378,241 ,+/- 225,"2,577 ",+/- 991,454 ,+/- 450,0 ,+/- 235,Alaska,206 ,+/- 357,61 ,+/- 71,0 ,+/- 235,71 ,+/- 81,"2,362 ","+/- 1,343",Alaska,"1,483 ","+/- 1,107",0 ,+/- 235,"1,325 ",+/- 710,"4,850 ","+/- 1,881",37 ,+/- 62,Alaska,845 ,+/- 756,334 ,+/- 374
Arizona,"1,805 ","+/- 1,432","3,715 ","+/- 1,882","935,748 ","+/- 26,598","1,163 ",+/- 690,"85,497 ","+/- 8,213",Arizona,"7,030 ","+/- 1,973","1,392 ",+/- 758,589 ,+/- 761,352 ,+/- 383,"7,667 ","+/- 1,829",Arizona,"3,084 ","+/- 1,350","2,840 ","+/- 1,982","4,668 ","+/- 2,156","9,344 ","+/- 2,603","3,537 ","+/- 1,489",Arizona,"5,035 ","+/- 2,047","1,714 ",+/- 831,"2,744 ","+/- 2,274","2,609 ","+/- 1,136","1,430 ","+/- 1,035",Arizona,"2,763 ","+/- 1,239","1,824 ",+/- 805,"10,422 ","+/- 2,981","6,189 ","+/- 2,557","1,068 ",+/- 962,Arizona,"1,583 ",+/- 722,"2,609 ","+/- 1,434","1,991 ","+/- 1,013","10,495 ","+/- 2,357","1,536 ","+/- 1,293",Arizona,"3,467 ","+/- 1,242","8,583 ","+/- 2,466","7,128 ","+/- 1,654","3,490 ","+/- 1,235",891 ,+/- 600,Arizona,"7,860 ","+/- 2,634","2,754 ","+/- 1,104","7,224 ","+/- 2,203","5,623 ","+/- 1,935",601 ,+/- 963,Arizona,858 ,+/- 810,"1,804 ",+/- 827,"2,530 ","+/- 1,298","1,776 ",+/- 825,"17,130 ","+/- 3,101",Arizona,"7,727 ","+/- 2,475",316 ,+/- 356,"3,580 ","+/- 1,869","11,774 ","+/- 2,709",52 ,+/- 85,Arizona,"4,367 ","+/- 1,378","1,442 ","+/- 1,031"
Arkansas,"2,678 ","+/- 1,589",751 ,+/- 515,"4,212 ","+/- 1,347","416,998 ","+/- 16,572","9,141 ","+/- 2,135",Arkansas,"1,766 ","+/- 1,145",50 ,+/- 85,88 ,+/- 148,324 ,+/- 456,"3,666 ","+/- 1,079",Arkansas,"1,587 ",+/- 692,853 ,+/- 615,392 ,+/- 399,"2,814 ",+/- 993,866 ,+/- 655,Arkansas,889 ,+/- 717,"2,030 ","+/- 1,094","1,755 ",+/- 863,"8,216 ","+/- 3,197",0 ,+/- 257,Arkansas,341 ,+/- 388,891 ,+/- 745,"1,961 ","+/- 1,178","1,838 ","+/- 1,479","2,767 ","+/- 1,371",Arkansas,"10,798 ","+/- 3,072",130 ,+/- 126,554 ,+/- 414,540 ,+/- 514,51 ,+/- 104,Arkansas,"1,643 ","+/- 1,254","1,551 ","+/- 1,331","1,546 ","+/- 1,166","1,496 ",+/- 901,138 ,+/- 186,Arkansas,"1,706 ",+/- 963,"8,457 ","+/- 2,294",486 ,+/- 357,635 ,+/- 515,206 ,+/- 265,Arkansas,0 ,+/- 257,974 ,+/- 585,0 ,+/- 257,"6,862 ","+/- 2,370","15,022 ","+/- 3,182",Arkansas,525 ,+/- 484,153 ,+/- 251,"1,157 ",+/- 888,"1,107 ","+/- 1,021",739 ,"+/- 1,103",Arkansas,471 ,+/- 531,84 ,+/- 94
California,"4,133 ","+/- 1,949","6,376 ","+/- 2,801","31,915 ","+/- 4,153","3,709 ","+/- 1,700","5,173,950 ","+/- 62,817",California,"15,885 ","+/- 2,639","5,596 ","+/- 1,585","1,339 ","+/- 1,188","2,044 ",+/- 773,"27,196 ","+/- 3,667",California,"13,384 ","+/- 3,136","14,421 ","+/- 3,382","6,486 ","+/- 2,253","25,149 ","+/- 4,840","6,972 ","+/- 2,263",California,"2,380 ","+/- 1,260","5,018 ","+/- 1,695","1,709 ",+/- 927,"10,561 ","+/- 2,733","2,288 ",+/- 792,California,"10,140 ","+/- 2,165","13,846 ","+/- 3,006","10,693 ","+/- 2,169","5,647 ","+/- 1,610","4,660 ","+/- 2,317",California,"5,847 ","+/- 1,471","1,874 ",+/- 637,"2,504 ",+/- 888,"28,855 ","+/- 4,212","1,323 ",+/- 693,California,"8,843 ","+/- 2,207","4,829 ","+/- 1,726","31,703 ","+/- 3,689","10,901 ","+/- 2,607","1,934 ","+/- 1,672",California,"13,165 ","+/- 2,797","8,025 ","+/- 2,193","25,374 ","+/- 4,733","11,747 ","+/- 2,533","2,303 ","+/- 1,540",California,"1,664 ",+/- 866,"3,426 ","+/- 1,276",367 ,+/- 251,"6,469 ","+/- 2,199","49,027 ","+/- 6,617",California,"9,726 ","+/- 2,085","1,658 ","+/- 1,129","14,710 ","+/- 2,772","34,105 ","+/- 5,293",530 ,+/- 460,California,"10,213 ","+/- 3,168","1,739 ","+/- 1,141"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,"1,285 ",+/- 587,"1,821 ",+/- 890,"13,714 ","+/- 2,911",893 ,+/- 526,"34,803 ","+/- 5,945",Colorado,"722,843 ","+/- 26,741",675 ,+/- 404,345 ,+/- 472,378 ,+/- 326,"10,327 ","+/- 2,660",Colorado,"3,039 ","+/- 1,276","2,351 ","+/- 1,073","1,328 ",+/- 685,"6,728 ","+/- 1,472","1,433 ",+/- 700,Colorado,"2,447 ",+/- 955,"4,667 ","+/- 2,095",209 ,+/- 162,"2,246 ",+/- 898,718 ,+/- 381,Colorado,"2,275 ",+/- 897,"3,951 ","+/- 1,641","3,531 ","+/- 1,453","3,785 ","+/- 1,332","1,369 ","+/- 1,033",Colorado,"2,856 ","+/- 1,216","1,517 ",+/- 730,"5,722 ","+/- 2,246","2,815 ","+/- 1,080",405 ,+/- 323,Colorado,"1,650 ",+/- 712,"5,922 ","+/- 1,679","3,920 ","+/- 1,620","4,152 ","+/- 1,477",590 ,+/- 405,Colorado,"4,921 ","+/- 1,727","3,708 ","+/- 1,351","4,133 ","+/- 1,622","3,490 ","+/- 1,253",0 ,+/- 271,Colorado,508 ,+/- 584,531 ,+/- 448,"1,139 ",+/- 648,"1,057 ",+/- 546,"16,928 ","+/- 3,057",Colorado,"4,678 ","+/- 1,510",494 ,+/- 478,"4,371 ","+/- 1,264","5,839 ","+/- 1,909",155 ,+/- 179,Colorado,"2,303 ",+/- 916,"6,646 ","+/- 2,289"
Connecticut,496 ,+/- 468,0 ,+/- 269,262 ,+/- 211,0 ,+/- 269,"2,727 ",+/- 906,Connecticut,660 ,+/- 332,"366,706 ","+/- 14,164",160 ,+/- 263,284 ,+/- 213,"6,999 ","+/- 1,940",Connecticut,"1,299 ",+/- 815,320 ,+/- 449,0 ,+/- 269,"1,607 ","+/- 1,323",236 ,+/- 245,Connecticut,113 ,+/- 140,301 ,+/- 333,199 ,+/- 191,269 ,+/- 217,"1,030 ",+/- 557,Connecticut,"1,363 ",+/- 976,"11,956 ","+/- 2,204",932 ,+/- 634,353 ,+/- 297,0 ,+/- 269,Connecticut,485 ,+/- 515,49 ,+/- 82,487 ,+/- 404,55 ,+/- 91,945 ,+/- 564,Connecticut,"5,064 ","+/- 1,738",147 ,+/- 158,"24,838 ","+/- 4,496","2,542 ","+/- 1,170",0 ,+/- 269,Connecticut,"1,941 ","+/- 1,090",101 ,+/- 116,440 ,+/- 521,"2,425 ",+/- 839,"2,448 ","+/- 1,185",Connecticut,"3,963 ","+/- 1,676","1,688 ","+/- 1,405",41 ,+/- 67,362 ,+/- 342,"3,882 ","+/- 1,867",Connecticut,654 ,+/- 813,"1,108 ",+/- 520,"2,458 ","+/- 1,204",593 ,+/- 564,76 ,+/- 123,Connecticut,160 ,+/- 185,0 ,+/- 269
