Dataset: 2007-2009 American Community Survey 3-Year Estimates,,,,,,,,,,,"Table with row headers in column A, L, W, AH, AS, BD, BO, BZ, CK, CV, and DG, and column headers in rows 6 through 8 and 46 through 48.",,,,,,,,,,,"Table with row headers in column A, L, W, AH, AS, BD, BO, BZ, CK, CV, and DG, and column headers in rows 6 through 8 and 46 through 48.",,,,,,,,,,,"Table with row headers in column A, L, W, AH, AS, BD, BO, BZ, CK, CV, and DG, and column headers in rows 6 through 8 and 46 through 48.",,,,,,,,,,,"Table with row headers in column A, L, W, AH, AS, BD, BO, BZ, CK, CV, and DG, and column headers in rows 6 through 8 and 46 through 48.",,,,,,,,,,,"Table with row headers in column A, L, W, AH, AS, BD, BO, BZ, CK, CV, and DG, and column headers in rows 6 through 8 and 46 through 48.",,,,,,,,,,,"Table with row headers in column A, L, W, AH, AS, BD, BO, BZ, CK, CV, and DG, and column headers in rows 6 through 8 and 46 through 48.",,,,,,,,,,,"Table with row headers in column A, L, W, AH, AS, BD, BO, BZ, CK, CV, and DG, and column headers in rows 6 through 8 and 46 through 48.",,,,,,,,,,,"Table with row headers in column A, L, W, AH, AS, BD, BO, BZ, CK, CV, and DG, and column headers in rows 6 through 8 and 46 through 48.",,,,,,,,,,,"Table with row headers in column A, L, W, AH, AS, BD, BO, BZ, CK, CV, and DG, and column headers in rows 6 through 8 and 46 through 48.",,,,,,,,,,,"Table with row headers in column A, L, W, AH, AS, BD, BO, BZ, CK, CV, and DG, and column headers in rows 6 through 8 and 46 through 48.",,,,
Table 1.  State-to-State Migration Flows*: 2009,,,,,,,,,,,Table 1.  State-to-State Migration Flows*: 2009,,,,,,,,,,,Table 1.  State-to-State Migration Flows*: 2009,,,,,,,,,,,Table 1.  State-to-State Migration Flows*: 2009,,,,,,,,,,,Table 1.  State-to-State Migration Flows*: 2009,,,,,,,,,,,Table 1.  State-to-State Migration Flows*: 2009,,,,,,,,,,,Table 1.  State-to-State Migration Flows*: 2009,,,,,,,,,,,Table 1.  State-to-State Migration Flows*: 2009,,,,,,,,,,,Table 1.  State-to-State Migration Flows*: 2009,,,,,,,,,,,Table 1.  State-to-State Migration Flows*: 2009,,,,,,,,,,,Table 1.  State-to-State Migration Flows*: 2009,,,,
Dataset: 2009 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2009 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2009 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2009 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2009 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2009 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2009 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2009 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2009 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2009 American Community Survey 1-Year Estimates,,,,,,,,,,,Dataset: 2009 American Community Survey 1-Year Estimates,,,,
"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,"Universe: Population 1 year and over who moved within or between states, the District of Columbia, and Puerto Rico",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,,,,,,,,Current residence in --,Residence 1 year ago in --,,,
,Alabama,,Alaska,,Arizona,,Arkansas,,California,,,Colorado,,Connecticut,,Delaware,,District of Columbia ,,Florida,,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Puerto Rico,,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,,Wisconsin,,Wyoming,
,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,"579,815 ","+/- 18,712",982 ,+/- 788,"1,183 ",+/- 832,373 ,+/- 310,"4,447 ","+/- 2,040",Alabama,"1,191 ",+/- 723,130 ,+/- 182,212 ,+/- 338,99 ,+/- 135,"15,799 ","+/- 3,202",Alabama,"20,889 ","+/- 3,782",786 ,+/- 540,"1,072 ",+/- 669,"3,177 ","+/- 1,486","3,946 ","+/- 2,079",Alabama,458 ,+/- 437,457 ,+/- 381,"1,765 ","+/- 1,034","4,174 ","+/- 1,688",710 ,+/- 594,Alabama,"2,709 ","+/- 2,308",104 ,+/- 148,"3,964 ","+/- 2,103",621 ,+/- 447,"7,941 ","+/- 3,447",Alabama,"1,069 ",+/- 561,456 ,+/- 458,0 ,+/- 273,567 ,+/- 576,99 ,+/- 133,Alabama,664 ,+/- 838,404 ,+/- 285,"2,463 ","+/- 1,344","7,152 ","+/- 2,516",39 ,+/- 63,Alabama,"3,265 ","+/- 1,488","1,316 ","+/- 1,099",125 ,+/- 133,"1,015 ",+/- 617,583 ,+/- 627,Alabama,448 ,+/- 603,"2,445 ",+/- 971,0 ,+/- 273,"7,948 ","+/- 2,313","8,718 ","+/- 2,831",Alabama,382 ,+/- 322,0 ,+/- 273,"5,821 ","+/- 1,900",991 ,+/- 356,215 ,+/- 215,Alabama,"1,026 ",+/- 622,258 ,+/- 249
Alaska,"1,390 ","+/- 1,677","107,051 ","+/- 7,518","1,285 ",+/- 552,209 ,+/- 254,"3,780 ","+/- 1,484",Alaska,"1,460 ","+/- 1,213",313 ,+/- 451,86 ,+/- 107,47 ,+/- 80,"2,581 ","+/- 1,588",Alaska,"3,114 ","+/- 2,074",374 ,+/- 285,743 ,+/- 575,271 ,+/- 265,643 ,+/- 397,Alaska,246 ,+/- 225,49 ,+/- 99,155 ,+/- 258,"1,975 ","+/- 1,929",129 ,+/- 177,Alaska,642 ,+/- 953,24 ,+/- 39,748 ,+/- 568,"1,753 ","+/- 1,308",91 ,+/- 129,Alaska,782 ,+/- 675,"1,372 ","+/- 1,027",40 ,+/- 51,314 ,+/- 217,38 ,+/- 74,Alaska,327 ,+/- 386,70 ,+/- 125,718 ,+/- 597,288 ,+/- 211,17 ,+/- 48,Alaska,"1,292 ","+/- 1,027",407 ,+/- 427,"1,342 ",+/- 766,476 ,+/- 303,48 ,+/- 83,Alaska,0 ,+/- 244,375 ,+/- 318,314 ,+/- 420,"1,229 ","+/- 1,223","2,729 ","+/- 1,611",Alaska,786 ,+/- 782,0 ,+/- 244,264 ,+/- 218,"3,620 ","+/- 1,513",0 ,+/- 244,Alaska,"1,048 ",+/- 946,470 ,+/- 812
Arizona,392 ,+/- 343,"2,249 ","+/- 1,201","1,055,904 ","+/- 32,274","1,818 ",+/- 941,"46,921 ","+/- 5,970",Arizona,"7,836 ","+/- 1,844","1,418 ",+/- 831,131 ,+/- 164,890 ,+/- 806,"4,931 ","+/- 1,833",Arizona,"6,076 ","+/- 2,100","3,943 ","+/- 2,465","2,737 ","+/- 1,506","13,111 ","+/- 3,640","4,992 ","+/- 2,368",Arizona,"3,219 ","+/- 1,524","2,461 ","+/- 1,415",830 ,+/- 630,"1,741 ","+/- 1,217",806 ,+/- 476,Arizona,"1,265 ",+/- 747,"1,764 ",+/- 813,"10,923 ","+/- 3,388","6,161 ","+/- 2,351",388 ,+/- 419,Arizona,"3,606 ","+/- 2,311","1,149 ",+/- 689,"3,224 ","+/- 2,558","8,666 ","+/- 2,797","1,114 ",+/- 930,Arizona,"2,094 ","+/- 1,167","8,707 ","+/- 3,068","4,775 ","+/- 1,872","3,996 ","+/- 1,948","1,039 ",+/- 708,Arizona,"4,829 ","+/- 1,597","1,594 ",+/- 637,"5,407 ","+/- 2,120","4,344 ","+/- 1,630",467 ,+/- 458,Arizona,282 ,+/- 375,914 ,+/- 597,"1,191 ",+/- 845,215 ,+/- 204,"12,278 ","+/- 3,475",Arizona,"7,997 ","+/- 3,413",61 ,+/- 100,"4,521 ","+/- 1,412","11,148 ","+/- 2,588",781 ,+/- 726,Arizona,"3,795 ","+/- 1,487","1,260 ",+/- 861
Arkansas,443 ,+/- 321,968 ,"+/- 1,089","1,365 ",+/- 842,"416,745 ","+/- 17,033","4,837 ","+/- 1,641",Arkansas,"2,497 ","+/- 1,377",153 ,+/- 148,0 ,+/- 273,0 ,+/- 273,"3,264 ","+/- 1,328",Arkansas,"1,090 ",+/- 869,396 ,+/- 327,499 ,+/- 603,"3,758 ","+/- 1,562","1,032 ","+/- 1,033",Arkansas,292 ,+/- 231,"2,776 ","+/- 1,693","1,684 ","+/- 2,143","4,905 ","+/- 1,603",424 ,+/- 578,Arkansas,654 ,+/- 580,224 ,+/- 274,"1,905 ","+/- 1,119","1,130 ",+/- 716,"3,059 ","+/- 1,592",Arkansas,"7,652 ","+/- 2,879",0 ,+/- 273,198 ,+/- 191,"2,079 ","+/- 1,432",165 ,+/- 268,Arkansas,315 ,+/- 361,574 ,+/- 559,"1,803 ","+/- 1,340","1,245 ",+/- 855,0 ,+/- 273,Arkansas,"1,128 ",+/- 991,"7,538 ","+/- 2,142",798 ,+/- 818,236 ,+/- 281,304 ,+/- 333,Arkansas,0 ,+/- 273,796 ,+/- 455,155 ,+/- 223,"7,667 ","+/- 2,901","14,036 ","+/- 2,630",Arkansas,499 ,+/- 575,0 ,+/- 273,191 ,+/- 171,520 ,+/- 591,29 ,+/- 57,Arkansas,459 ,+/- 393,115 ,+/- 140
California,"2,889 ","+/- 1,476","5,332 ","+/- 2,553","34,040 ","+/- 5,056","3,539 ","+/- 1,668","5,238,440 ","+/- 64,852",California,"16,798 ","+/- 2,956","4,906 ","+/- 1,675",453 ,+/- 394,"1,951 ",+/- 990,"18,769 ","+/- 2,998",California,"10,819 ","+/- 2,897","13,042 ","+/- 2,986","7,446 ","+/- 2,105","16,415 ","+/- 2,702","6,411 ","+/- 2,461",California,"3,576 ","+/- 1,932","4,782 ","+/- 1,494","1,996 ",+/- 881,"3,171 ","+/- 1,208","1,216 ",+/- 715,California,"11,905 ","+/- 2,485","10,171 ","+/- 1,811","10,741 ","+/- 1,956","7,126 ","+/- 2,047","2,516 ","+/- 1,228",California,"8,651 ","+/- 2,526","2,102 ","+/- 1,067","2,400 ","+/- 1,070","32,333 ","+/- 5,352","1,817 ",+/- 995,California,"6,142 ","+/- 1,859","7,057 ","+/- 2,463","26,083 ","+/- 4,457","10,802 ","+/- 2,551",741 ,+/- 627,California,"7,657 ","+/- 2,259","2,766 ","+/- 1,004","21,270 ","+/- 3,095","8,111 ","+/- 1,997","1,479 ",+/- 772,California,"1,264 ",+/- 742,"5,219 ","+/- 1,649",917 ,+/- 542,"7,010 ","+/- 2,615","35,104 ","+/- 5,123",California,"13,401 ","+/- 4,200","1,046 ",+/- 752,"14,464 ","+/- 3,449","33,408 ","+/- 4,711",835 ,+/- 628,California,"6,958 ","+/- 2,526","1,114 ",+/- 685
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,"1,774 ","+/- 1,153","1,215 ",+/- 708,"9,378 ","+/- 2,408","2,463 ","+/- 1,157","21,223 ","+/- 3,248",Colorado,"721,050 ","+/- 23,975","1,344 ",+/- 733,253 ,+/- 293,"1,057 ",+/- 863,"7,085 ","+/- 1,573",Colorado,"4,499 ","+/- 2,079","1,818 ",+/- 799,"1,446 ",+/- 804,"5,686 ","+/- 1,791","5,621 ","+/- 2,743",Colorado,"2,852 ","+/- 1,081","3,934 ","+/- 1,422",494 ,+/- 380,"1,204 ",+/- 696,639 ,+/- 651,Colorado,"1,949 ","+/- 1,234","2,544 ","+/- 1,541","5,684 ","+/- 1,974","4,494 ","+/- 1,458",946 ,+/- 619,Colorado,"4,087 ","+/- 1,843","1,283 ",+/- 741,"4,118 ","+/- 1,788","5,320 ","+/- 1,763",577 ,+/- 769,Colorado,"1,540 ","+/- 1,107","8,038 ","+/- 1,892","3,996 ","+/- 1,267","4,565 ","+/- 2,013",227 ,+/- 198,Colorado,"2,316 ",+/- 840,"4,206 ","+/- 2,215","2,646 ","+/- 1,062","2,613 ",+/- 999,213 ,+/- 263,Colorado,449 ,+/- 417,"1,919 ","+/- 1,549","1,010 ",+/- 631,"1,755 ",+/- 824,"19,214 ","+/- 3,557",Colorado,"5,259 ","+/- 1,615",324 ,+/- 315,"4,172 ","+/- 2,098","4,325 ","+/- 1,492",468 ,+/- 583,Colorado,"2,982 ","+/- 1,257","5,630 ","+/- 2,796"
Connecticut,"1,963 ","+/- 2,176",504 ,+/- 496,629 ,+/- 662,14 ,+/- 22,"5,041 ","+/- 1,589",Connecticut,"1,815 ",+/- 861,"308,232 ","+/- 11,987",409 ,+/- 588,239 ,+/- 205,"6,286 ","+/- 1,765",Connecticut,"2,216 ","+/- 1,844",369 ,+/- 376,0 ,+/- 277,"1,514 ",+/- 749,583 ,+/- 473,Connecticut,0 ,+/- 277,766 ,+/- 555,470 ,+/- 329,114 ,+/- 131,234 ,+/- 199,Connecticut,"2,796 ","+/- 1,908","8,136 ","+/- 2,183",621 ,+/- 365,14 ,+/- 22,261 ,+/- 220,Connecticut,192 ,+/- 205,75 ,+/- 135,0 ,+/- 277,153 ,+/- 115,"2,932 ","+/- 1,571",Connecticut,"2,415 ",+/- 972,120 ,+/- 127,"19,313 ","+/- 3,499","1,426 ",+/- 795,0 ,+/- 277,Connecticut,"1,458 ","+/- 1,022",125 ,+/- 199,161 ,+/- 161,"2,799 ","+/- 1,044","5,205 ","+/- 2,183",Connecticut,"2,123 ","+/- 1,343",857 ,+/- 644,0 ,+/- 277,509 ,+/- 445,"1,312 ",+/- 603,Connecticut,425 ,+/- 437,"1,032 ",+/- 542,"2,478 ","+/- 1,428","1,163 ",+/- 574,0 ,+/- 277,Connecticut,74 ,+/- 99,205 ,+/- 332
