From,To,Weight
Lakshadweep,State - ARUNACHAL PRADESH (12),1
Andaman & Nicobar Islands,State - ARUNACHAL PRADESH (12),1
Chhattisgarh,State - MANIPUR (14),1
Dadra & Nagar Haveli,State - MANIPUR (14),1
Lakshadweep,State - MIZORAM (15),1
Mizoram,State - LAKSHADWEEP (31),1
Tripura,State - LAKSHADWEEP (31),1
Meghalaya,State - LAKSHADWEEP (31),1
Jharkhand,State - LAKSHADWEEP (31),1
Andaman & Nicobar Islands,State - MIZORAM (15),2
Uttarakhand,State - LAKSHADWEEP (31),2
Assam,State - LAKSHADWEEP (31),2
Chhattisgarh,State - LAKSHADWEEP (31),2
Lakshadweep,State - PUDUCHERRY (34),2
Dadra & Nagar Haveli,State - SIKKIM (11),3
Puducherry,State - ARUNACHAL PRADESH (12),3
Lakshadweep,State - MANIPUR (14),3
Puducherry,State - MIZORAM (15),3
Dadra & Nagar Haveli,State - MEGHALAYA (17),3
Andaman & Nicobar Islands,State - MEGHALAYA (17),3
Nagaland,State - DADRA & NAGAR HAVELI (26),3
Tripura,State - DADRA & NAGAR HAVELI (26),3
Jammu & Kashmir,State - LAKSHADWEEP (31),3
Arunachal Pradesh,State - LAKSHADWEEP (31),3
Daman & Diu,State - JAMMU & KASHMIR (01),4
Chandigarh,State - MIZORAM (15),4
Dadra & Nagar Haveli,State - TRIPURA (16),4
Dadra & Nagar Haveli,State - CHHATTISGARH (22),4
Meghalaya,State - DAMAN & DIU (25),4
Goa,State - LAKSHADWEEP (31),4
Puducherry,State - LAKSHADWEEP (31),4
Daman & Diu,State - PUDUCHERRY (34),4
Dadra & Nagar Haveli,State - JAMMU & KASHMIR (01),5
Puducherry,State - HIMACHAL PRADESH (02),5
Dadra & Nagar Haveli,State - PUNJAB (03),5
Lakshadweep,State - CHANDIGARH (04),5
Goa,State - TRIPURA (16),5
Daman & Diu,State - JHARKHAND (20),5
Arunachal Pradesh,State - DAMAN & DIU (25),5
Nagaland,State - DAMAN & DIU (25),5
Punjab,State - LAKSHADWEEP (31),5
Haryana,State - LAKSHADWEEP (31),5
Rajasthan,State - LAKSHADWEEP (31),5
Daman & Diu,State - PUNJAB (03),6
Dadra & Nagar Haveli,State - NAGALAND (13),6
Gujarat,State - MIZORAM (15),6
Chandigarh,State - TRIPURA (16),6
Puducherry,State - MEGHALAYA (17),6
Dadra & Nagar Haveli,State - ASSAM (18),6
Puducherry,State - DAMAN & DIU (25),6
Andaman & Nicobar Islands,State - DADRA & NAGAR HAVELI (26),6
Dadra & Nagar Haveli,State - HIMACHAL PRADESH (02),7
Dadra & Nagar Haveli,State - CHANDIGARH (04),7
Dadra & Nagar Haveli,State - HARYANA (06),7
Chandigarh,State - ARUNACHAL PRADESH (12),7
Dadra & Nagar Haveli,State - JHARKHAND (20),7
Puducherry,State - DADRA & NAGAR HAVELI (26),7
Nagaland,State - PUDUCHERRY (34),7
Puducherry,State - JAMMU & KASHMIR (01),8
NCT of Delhi,State - NAGALAND (13),8
Chandigarh,State - MANIPUR (14),8
Sikkim,State - TRIPURA (16),8
Lakshadweep,State - TRIPURA (16),8
Lakshadweep,State - GUJARAT (24),8
Daman & Diu,State - BIHAR (10),9
Uttar Pradesh,State - LAKSHADWEEP (31),9
Daman & Diu,State - CHANDIGARH (04),10
Chhattisgarh,State - MIZORAM (15),10
Daman & Diu,State - ODISHA (21),10
Manipur,State - DAMAN & DIU (25),10
Arunachal Pradesh,State - DADRA & NAGAR HAVELI (26),10
Bihar,State - LAKSHADWEEP (31),10
Mizoram,State - ANDAMAN & NICOBAR ISLANDS (35),10
Puducherry,State - NAGALAND (13),11
Andaman & Nicobar Islands,State - NAGALAND (13),11
Dadra & Nagar Haveli,State - ANDHRA PRADESH (28),11
Chandigarh,State - PUDUCHERRY (34),11
Daman & Diu,State - ANDAMAN & NICOBAR ISLANDS (35),11
Goa,State - MANIPUR (14),12
