,PUDUCHERRY,CHANDIGARH,DAMAN & DIU,HARYANA,UTTAR PRADESH,ARUNACHAL PRADESH,DADRA & NAGAR HAVELI,GOA,LAKSHADWEEP,CHHATTISGARH,MANIPUR,GUJARAT,MIZORAM,TRIPURA,SIKKIM,ANDAMAN & NICOBAR ISLANDS,MEGHALAYA,ASSAM,JHARKHAND,ODISHA,UTTARAKHAND,KARNATAKA,NAGALAND,BIHAR,JAMMU & KASHMIR,PUNJAB,ANDHRA PRADESH,MAHARASHTRA,KERALA,HIMACHAL PRADESH,RAJASTHAN,NCT OF DELHI,TAMIL NADU,WEST BENGAL,MADHYA PRADESH
PUDUCHERRY,12894,1,0,12,9,0,2,7,0,2,0,18,0,0,0,4,6,1,6,5,4,203,2,2,5,10,66,97,309,0,5,24,4806,14,4
CHANDIGARH,0,643,13,1085,133,1,2,11,0,8,0,97,0,1,3,3,2,15,7,17,73,73,0,6,10,4135,42,159,50,124,35,187,24,59,22
DAMAN & DIU,0,3,3905,1,1,0,101,10,11,1,0,802,0,0,8,0,0,0,0,5,0,8,0,2,0,0,2,130,2,1,2,4,0,4,15
HARYANA,20,12131,62,479788,11410,58,95,213,1,1495,5,5792,37,28,78,82,79,355,488,392,2408,1796,146,154,1054,25506,723,8578,318,1959,25753,93516,631,1188,2627
UTTAR PRADESH,137,52479,20636,216356,2001246,925,13626,7243,3,28481,136,375830,115,176,364,506,559,2828,12971,5366,114278,16229,1025,8738,4357,125078,8817,816993,2894,12521,62850,670531,3545,31331,94511
ARUNACHAL PRADESH,0,12,2,85,77,39638,4,5,0,20,16,43,33,39,37,0,359,1076,19,22,102,376,180,25,23,67,23,165,55,73,46,267,43,183,47
DADRA & NAGAR HAVELI,0,0,27,3,24,1,5248,3,13,1,1,586,0,2,0,0,0,3,1,4,8,12,0,30,0,3,3,104,3,0,8,10,38,21,6
GOA,1,0,22,20,27,1,18,61970,0,2,1,83,0,0,4,7,3,2,18,9,6,771,3,6,8,21,55,2818,110,6,27,54,89,24,31
LAKSHADWEEP,0,5,4,12,52,1,42,7,2130,2,0,1,0,2,0,9,0,6,4,1,5,50,0,58,4,35,7,62,784,3,14,36,7,10,7
CHHATTISGARH,2,572,236,2839,5402,10,170,333,0,475633,1,3221,8,8,7,79,23,46,2506,3941,623,1017,28,154,3193,1033,1321,28799,344,1190,1096,3495,284,1055,14141
MANIPUR,3,167,2,175,221,238,11,73,0,18,32856,91,1748,58,60,4,1889,899,27,24,129,902,2599,34,26,228,202,800,94,12,99,1721,134,234,132
GUJARAT,59,193,5725,965,1141,5,5830,540,16,1296,0,1972613,1,4,4,49,36,55,308,444,350,3383,29,85,147,1259,1838,94261,914,123,6023,2195,1237,1068,3487
MIZORAM,0,7,0,20,23,21,0,3,0,0,30,2,43989,36,7,0,447,183,4,6,13,48,73,5,3,90,50,73,11,5,19,118,17,61,40
TRIPURA,4,4,24,108,66,108,2,5,0,12,33,64,420,73729,7,6,494,2003,37,22,41,349,429,13,19,77,42,303,14,5,77,259,44,1034,99
SIKKIM,3,20,0,40,52,12,0,4,0,8,2,14,3,1,12172,5,21,24,22,6,73,85,16,10,17,19,19,60,8,41,26,146,31,662,25
ANDAMAN & NICOBAR ISLANDS,19,21,7,16,21,0,5,10,2,14,3,48,0,0,0,13212,1,15,17,20,13,160,6,2,5,35,153,204,160,4,23,81,272,129,12
MEGHALAYA,0,3,3,20,80,52,0,5,0,8,19,22,92,48,12,6,26451,1509,14,21,27,148,108,12,18,38,32,195,39,7,49,169,41,306,25
ASSAM,29,421,1253,2773,5205,8385,761,513,0,269,528,2693,3100,1724,222,32,4692,315240,473,310,428,4671,8012,374,297,1758,984,8859,2227,176,1478,5708,1502,9916,842
JHARKHAND,11,997,2755,5232,9600,95,1020,1059,0,12760,12,23057,213,1005,45,364,167,296,360088,15542,1422,3532,117,11359,331,3168,1401,33254,588,1599,2192,20060,980,35559,4481
ODISHA,265,489,3232,4769,3958,163,2134,1665,0,21043,14,89239,19,63,127,178,124,467,13305,702081,646,14854,212,369,543,2286,18821,38896,3971,978,2528,12185,3355,15558,3306
UTTARAKHAND,0,8835,225,13542,29522,74,317,166,1,263,7,2284,64,38,42,13,366,110,219,58,210651,721,270,93,724,9409,217,9733,133,2031,3718,64787,84,458,2047
KARNATAKA,157,79,212,475,653,13,284,23085,1,216,6,4210,10,29,37,41,55,79,190,201,189,1483374,41,85,152,677,22805,164874,8025,159,785,1180,12082,308,635
NAGALAND,1,4,0,58,70,88,3,17,0,14,74,38,68,43,16,6,378,602,15,16,39,155,46334,19,4,80,44,219,111,7,57,285,66,214,48
BIHAR,82,20433,22010,122416,125657,3721,11006,2980,0,34873,562,167768,393,1410,2493,394,2881,21108,187695,24640,18576,18787,5041,635634,3622,86391,10241,204039,3440,9246,39913,413308,5010,177909,25931
JAMMU & KASHMIR,2,802,19,1199,1417,54,11,60,2,230,2,647,10,22,34,10,66,51,193,83,647,503,104,141,136892,4787,172,2284,339,1316,1488,3521,297,329,708
PUNJAB,11,14680,58,22001,4485,39,78,131,0,1689,2,2999,13,13,25,68,104,217,978,411,1513,927,135,143,3121,386754,430,6838,216,3595,8271,12526,340,1399,1960
ANDHRA PRADESH,7378,144,134,965,1341,24,187,930,12,4929,4,9112,19,36,8,2201,92,378,866,9522,255,104755,87,75,295,1395,2088344,48508,2275,190,1107,2267,21139,1515,1470
MAHARASHTRA,55,262,5424,1888,3108,41,7333,6730,2,7822,12,158544,11,27,18,41,111,113,543,737,661,20104,67,261,654,3256,13368,3232704,1888,341,4058,3700,2207,1300,29229
KERALA,3010,118,238,1198,2116,144,452,1254,540,1076,0,6234,45,33,23,467,191,176,402,475,239,35837,210,185,283,1045,3779,24619,1548068,102,1526,9578,41128,634,2459
HIMACHAL PRADESH,3,14074,42,6595,2290,45,55,98,0,174,5,936,11,14,34,11,74,70,261,79,1493,685,99,220,883,19739,146,2602,60,84710,1656,13753,90,262,894
RAJASTHAN,162,1640,2579,41338,15453,241,2693,1456,3,2710,68,180112,36,59,58,47,259,2820,838,1117,1892,25245,428,346,1075,13459,11753,128821,1893,1134,978651,56367,9888,5118,32073
NCT OF DELHI,8,363,103,16830,13634,7,62,155,0,151,12,1154,7,6,10,10,0,69,205,159,919,967,0,227,146,672,520,3939,561,143,1080,32498,362,333,358
TAMIL NADU,25700,353,94,596,874,37,127,564,42,468,4,3007,9,27,20,1880,63,109,344,384,203,73035,59,58,263,860,11492,26278,31118,60,789,4874,1872040,459,948
WEST BENGAL,80,1516,3262,22135,13587,968,1178,1203,16,4384,39,17422,59,459,4102,3529,422,4586,32099,10740,1640,7712,481,5801,984,4839,3379,66548,7514,715,10409,36034,2055,1191511,4789
MADHYA PRADESH,23,862,5937,15637,32974,26,2080,660,0,28887,8,66100,23,28,21,23,98,114,1180,1051,1492,2538,41,319,2368,4814,1752,94690,689,536,39272,33159,785,1303,1282608
