,0,1,2
0,ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,0
1,ANDAMAN AND NICOBAR ISLANDS,ANDHRA PRADESH,0
2,ANDAMAN AND NICOBAR ISLANDS,ARUNACHAL PRADESH,0
3,ANDAMAN AND NICOBAR ISLANDS,ASSAM,0
4,ANDAMAN AND NICOBAR ISLANDS,BIHAR,0
5,ANDAMAN AND NICOBAR ISLANDS,CHANDIGARH,0
6,ANDAMAN AND NICOBAR ISLANDS,CHHATTISGARH,0
7,ANDAMAN AND NICOBAR ISLANDS,DADRA AND NAGAR HAVELI,0
8,ANDAMAN AND NICOBAR ISLANDS,DAMAN AND DIU,0
9,ANDAMAN AND NICOBAR ISLANDS,GOA,0
10,ANDAMAN AND NICOBAR ISLANDS,GUJARAT,0
11,ANDAMAN AND NICOBAR ISLANDS,HARYANA,0
12,ANDAMAN AND NICOBAR ISLANDS,HIMACHAL PRADESH,0
13,ANDAMAN AND NICOBAR ISLANDS,JAMMU AND KASHMIR,0
14,ANDAMAN AND NICOBAR ISLANDS,JHARKHAND,0
15,ANDAMAN AND NICOBAR ISLANDS,KARNATAKA,0
16,ANDAMAN AND NICOBAR ISLANDS,KERALA,0
17,ANDAMAN AND NICOBAR ISLANDS,LAKSHADWEEP,0
18,ANDAMAN AND NICOBAR ISLANDS,MADHYA PRADESH,0
19,ANDAMAN AND NICOBAR ISLANDS,MAHARASHTRA,0
20,ANDAMAN AND NICOBAR ISLANDS,MANIPUR,0
21,ANDAMAN AND NICOBAR ISLANDS,MEGHALAYA,0
22,ANDAMAN AND NICOBAR ISLANDS,MIZORAM,0
23,ANDAMAN AND NICOBAR ISLANDS,NAGALAND,0
24,ANDAMAN AND NICOBAR ISLANDS,ODISHA,0
25,ANDAMAN AND NICOBAR ISLANDS,PUDUCHERRY,0
26,ANDAMAN AND NICOBAR ISLANDS,PUNJAB,0
27,ANDAMAN AND NICOBAR ISLANDS,RAJASTHAN,0
28,ANDAMAN AND NICOBAR ISLANDS,TAMIL NADU,0
29,ANDAMAN AND NICOBAR ISLANDS,TRIPURA,0
30,ANDAMAN AND NICOBAR ISLANDS,UTTAR PRADESH,0
31,ANDAMAN AND NICOBAR ISLANDS,UTTARAKHAND,0
32,ANDAMAN AND NICOBAR ISLANDS,WEST BENGAL,0
33,ANDAMAN AND NICOBAR ISLANDS,DELHI NCT,0
34,ANDAMAN AND NICOBAR ISLANDS,SIKKIM,0
35,ANDHRA PRADESH,ANDAMAN AND NICOBAR ISLANDS,0
36,ANDHRA PRADESH,ANDHRA PRADESH,0
37,ANDHRA PRADESH,ARUNACHAL PRADESH,0
38,ANDHRA PRADESH,ASSAM,9561
39,ANDHRA PRADESH,BIHAR,96007
40,ANDHRA PRADESH,CHANDIGARH,0
41,ANDHRA PRADESH,CHHATTISGARH,30035
42,ANDHRA PRADESH,DADRA AND NAGAR HAVELI,0
43,ANDHRA PRADESH,DAMAN AND DIU,0
44,ANDHRA PRADESH,GOA,2209
45,ANDHRA PRADESH,GUJARAT,30427
46,ANDHRA PRADESH,HARYANA,17600
47,ANDHRA PRADESH,HIMACHAL PRADESH,0
48,ANDHRA PRADESH,JAMMU AND KASHMIR,0
49,ANDHRA PRADESH,JHARKHAND,31157
50,ANDHRA PRADESH,KARNATAKA,733860
51,ANDHRA PRADESH,KERALA,72065
52,ANDHRA PRADESH,LAKSHADWEEP,0
53,ANDHRA PRADESH,MADHYA PRADESH,136099
54,ANDHRA PRADESH,MAHARASHTRA,788148
55,ANDHRA PRADESH,MANIPUR,0
56,ANDHRA PRADESH,MEGHALAYA,0
57,ANDHRA PRADESH,MIZORAM,0
58,ANDHRA PRADESH,NAGALAND,1
59,ANDHRA PRADESH,ODISHA,419181
60,ANDHRA PRADESH,PUDUCHERRY,1003
61,ANDHRA PRADESH,PUNJAB,0
62,ANDHRA PRADESH,RAJASTHAN,7261
63,ANDHRA PRADESH,TAMIL NADU,1055895
64,ANDHRA PRADESH,TRIPURA,79
65,ANDHRA PRADESH,UTTAR PRADESH,345057
66,ANDHRA PRADESH,UTTARAKHAND,0
67,ANDHRA PRADESH,WEST BENGAL,216139
68,ANDHRA PRADESH,DELHI NCT,18356
69,ANDHRA PRADESH,SIKKIM,0
70,ARUNACHAL PRADESH,ANDAMAN AND NICOBAR ISLANDS,0
71,ARUNACHAL PRADESH,ANDHRA PRADESH,0
72,ARUNACHAL PRADESH,ARUNACHAL PRADESH,0
73,ARUNACHAL PRADESH,ASSAM,0
74,ARUNACHAL PRADESH,BIHAR,0
75,ARUNACHAL PRADESH,CHANDIGARH,0
76,ARUNACHAL PRADESH,CHHATTISGARH,0
77,ARUNACHAL PRADESH,DADRA AND NAGAR HAVELI,0
78,ARUNACHAL PRADESH,DAMAN AND DIU,0
79,ARUNACHAL PRADESH,GOA,0
80,ARUNACHAL PRADESH,GUJARAT,0
81,ARUNACHAL PRADESH,HARYANA,0
82,ARUNACHAL PRADESH,HIMACHAL PRADESH,0
83,ARUNACHAL PRADESH,JAMMU AND KASHMIR,0
84,ARUNACHAL PRADESH,JHARKHAND,0
