,0,1,2
0,MAHARASHTRA,ANDAMAN AND NICOBAR ISLANDS,0
1,MAHARASHTRA,ANDHRA PRADESH,1054593
2,MAHARASHTRA,ARUNACHAL PRADESH,0
3,MAHARASHTRA,ASSAM,862
4,MAHARASHTRA,BIHAR,269680
5,MAHARASHTRA,CHANDIGARH,0
6,MAHARASHTRA,CHHATTISGARH,403206
7,MAHARASHTRA,DADRA AND NAGAR HAVELI,0
8,MAHARASHTRA,DAMAN AND DIU,0
9,MAHARASHTRA,GOA,950214
10,MAHARASHTRA,GUJARAT,2410422
11,MAHARASHTRA,HARYANA,93801
12,MAHARASHTRA,HIMACHAL PRADESH,0
13,MAHARASHTRA,JAMMU AND KASHMIR,3728
14,MAHARASHTRA,JHARKHAND,107432
15,MAHARASHTRA,KARNATAKA,379829
16,MAHARASHTRA,KERALA,55570
17,MAHARASHTRA,LAKSHADWEEP,0
18,MAHARASHTRA,MADHYA PRADESH,1246546
19,MAHARASHTRA,MAHARASHTRA,0
20,MAHARASHTRA,MANIPUR,0
21,MAHARASHTRA,MEGHALAYA,0
22,MAHARASHTRA,MIZORAM,0
23,MAHARASHTRA,NAGALAND,0
24,MAHARASHTRA,ODISHA,326247
25,MAHARASHTRA,PUDUCHERRY,0
26,MAHARASHTRA,PUNJAB,12438
27,MAHARASHTRA,RAJASTHAN,566431
28,MAHARASHTRA,TAMIL NADU,147834
29,MAHARASHTRA,TRIPURA,0
30,MAHARASHTRA,UTTAR PRADESH,1463867
31,MAHARASHTRA,UTTARAKHAND,1285
32,MAHARASHTRA,WEST BENGAL,168194
33,MAHARASHTRA,DELHI NCT,16643
34,MAHARASHTRA,SIKKIM,0
