,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,5304,Ernakulam - Gorakhpur Special Fare Special,COVR,NER,No TT Change,Jun 21,Jun 28,ERS,23:55,GKP,06:30,54h 35m,27,  M          ,2S SL 3A 2A,3032 km,56 km/hr,5303,[],"['Tel: 0484- 2376131, Kerala', 'Ph: 0484-2624141, Kerala', 'Thrissur Tel: 0487 2423150, Kerala', 'Palakkad Tel: 0491 2555231, Kerala', 'Tele; 0422 - 2301301, Tamil Nadu', 'Tiruppur. Ph:0421-2200450, Tamil Nadu', 'Pincode-638002. Telephone Number- 0424 2256111., Tamil Nadu', 'Pincode-636005, Tamil Nadu', 'Pincode-635851. Telephone Number-04179 241221, Tamil Nadu', 'Vellore 632007, Tamil Nadu', 'Chennai-600011 Phone: 044-25510359, Tamil Nadu', 'Ph ; 08624 - 251503, Andhra Pradesh', 'Ph.no 0861-234866, Andhra Pradesh', 'Pincode-523001, Andhra Pradesh', 'Guntur District, Andhra Pradesh', 'Krishna District - 520003, Andhra Pradesh', 'Phone; 08742-224541, Telangana', 'Enquiry No. 0870-2426232, Telangana', 'Balharshah 442901, Maharashtra', 'District Hoshangabad, Madhya Pradesh', '462001, Madhya Pradesh', 'PIN 284003 (Jn Point ;AGC/CNB/BPL/PRYJ), Uttar Pradesh', 'Distt Jalaun (05162-252206), Uttar Pradesh', 'KANPUR-208 001, Uttar Pradesh', 'Uttar Pradesh 226004, Uttar Pradesh', 'Gonda 271002, Uttar Pradesh', 'Basti 272001, Uttar Pradesh', 'Khalilabad- 272175, Uttar Pradesh', 'Gorakhpur 273012, Uttar Pradesh']","Mon Jun 21, 2021","Thu Jul 01, 2021"
1,2012,Kalka - New Delhi Shatabdi Special,COVR,NR,No TT Change,Jun 21,,KLK,17:45,NDLS,21:45,4h 0m,4,S M T W T F S,CC Ex,269 km,67 km/hr,2011,"['  L', 'EOG', ' E2', ' E1', 'C14', 'C13', 'C12', 'C11', 'C10', ' C9', ' C8', ' C7', ' C6', ' C5', ' C4', ' C3', ' C2', ' C1', 'EOG']","['133302, Haryana', 'Daria. Jn. Pnt. KLK/NMDA/UMB, Chandigarh', 'Ambala 133001, Haryana', 'Kurukshetra 136118, Haryana', 'Panipat 132103, Haryana', 'Ajmeri Gate 110002, Delhi NCT']","Mon Jun 21, 2021",NaN
2,2011,New Delhi - Kalka Shatabdi Special,COVR,NR,No TT Change,Jun 21,,NDLS,07:40,KLK,11:40,4h 0m,4,S M T W T F S,CC Ex,269 km,67 km/hr,2012,"['  L', 'EOG', ' C1', ' C2', ' C3', ' C4', ' C5', ' C6', ' C7', ' C8', ' C9', 'C10', 'C11', 'C12', 'C13', 'C14', ' E1', ' E2', 'EOG']","['Ajmeri Gate 110002, Delhi NCT', 'Panipat 132103, Haryana', 'Kurukshetra 136118, Haryana', 'Ambala 133001, Haryana', 'Daria. Jn. Pnt. KLK/NMDA/UMB, Chandigarh', '133302, Haryana']","Mon Jun 21, 2021",NaN
3,2030,Amritsar - New Delhi Swarna Jayanti Shatabdi Special,COVR,NR,No TT Change,Jul 02,,ASR,16:50,NDLS,22:50,6h 0m,6,S M T W   F S,CC Ex,448 km,75 km/hr,2029,"['  L', 'EOG', ' E3', ' E2', ' E1', 'C14', 'C13', 'C12', 'C11', 'C10', ' C9', ' C8', ' C7', ' C6', ' C5', ' C4', ' C3', ' C2', ' C1', 'EOG']","['Amritsar 143001., Punjab', 'Pincode-143201, Punjab', 'Jalandhar 144001. Jn. Pt. NRO/Kapurthala/JRC/Beas, Punjab', 'District Kapurthala 144401, Punjab', 'Ludhiana 141001, Punjab', 'Opp. Rajpura Bus Stand (Distt.Patiala) 140401, Punjab', 'Ambala 133001, Haryana', 'Ajmeri Gate 110002, Delhi NCT']","Fri Jul 02, 2021",NaN
4,2029,New Delhi - Amritsar Swarna Jayanti Shatabdi Special,COVR,NR,No TT Change,Jul 02,,NDLS,07:20,ASR,13:30,6h 10m,6,S M T W   F S,CC Ex,448 km,73 km/hr,2030,"['  L', 'EOG', ' C1', ' C2', ' C3', ' C4', ' C5', ' C6', ' C7', ' C8', ' C9', 'C10', 'C11', 'C12', 'C13', 'C14', ' E1', ' E2', ' E3', 'EOG']","['Ajmeri Gate 110002, Delhi NCT', 'Ambala 133001, Haryana', 'Opp. Rajpura Bus Stand (Distt.Patiala) 140401, Punjab', 'Ludhiana 141001, Punjab', 'District Kapurthala 144401, Punjab', 'Jalandhar 144001. Jn. Pt. NRO/Kapurthala/JRC/Beas, Punjab', 'Pincode-143201, Punjab', 'Amritsar 143001., Punjab']","Fri Jul 02, 2021",NaN
5,2461,Shri Shakti AC SF Special,COVR,NR,No TT Change,Jul 02,,NDLS,19:05,SVDK,06:10,11h 5m,6,S M T W T F S,3A 2A 1A,655 km,59 km/hr,2462,"['  L', 'EOG', 'B12', 'B11', 'B10', ' B9', ' B8', ' B7', ' B6', ' B5', ' B4', ' B3', ' B2', ' B1', ' PC', ' A5', ' A4', ' A3', ' A2', ' A1', ' H2', ' H1', 'EOG']","['Ajmeri Gate 110002, Delhi NCT', 'Ambala 133001, Haryana', 'Ludhiana 141001, Punjab', 'Jalandhar - 144001, Punjab', 'Pathankot Cantt 145001 Ph;0186-2251594, Punjab', 'Jammu 180012, Jammu and Kashmir', 'District Udhampur - 182101, Jammu and Kashmir', 'Distt - Reasi Pin - 182320, Jammu and Kashmir']","Fri Jul 02, 2021",NaN
6,2462,Shri Shakti AC SF Special,COVR,NR,No TT Change,Jul 01,,SVDK,23:00,NDLS,09:45,10h 45m,6,S M T W T F S,3A 2A 1A,655 km,61 km/hr,2461,"['  L', 'EOG', ' H1', ' H2', ' A1', ' A2', ' A3', ' A4', ' A5', ' PC', ' B1', ' B2', ' B3', ' B4', ' B5', ' B6', ' B7', ' B8', ' B9', 'B10', 'B11', 'B12', 'EOG']","['Distt - Reasi Pin - 182320, Jammu and Kashmir', 'District Udhampur - 182101, Jammu and Kashmir', 'Jammu 180012, Jammu and Kashmir', 'Pathankot Cantt 145001 Ph;0186-2251594, Punjab', 'Jalandhar - 144001, Punjab', 'Ludhiana 141001, Punjab', 'Ambala 133001, Haryana', 'Ajmeri Gate 110002, Delhi NCT']","Thu Jul 01, 2021",NaN
7,5631,Barmer - Guwahati Special,COVR,NFR,No TT Change,Jul 04,,BME,23:35,GHY,00:35,49h 0m,30,S            ,2S SL 3A 2A,2453 km,50 km/hr,5632,[],"['344001, Rajasthan', 'Balotra, Rajasthan', '342001, Rajasthan', 'Dist. Nagaur, Rajasthan', 'Dist- Nagaur, Rajasthan', 'Dist - Nagaur, Rajasthan', 'Palari Dist.Nagaur 341533, Rajasthan', 'Jaipur - 302006, Rajasthan', 'Bharatpur, Rajasthan', 'Agra District, Uttar Pradesh', 'PIN 282003, Uttar Pradesh', 'PIN 283204, Uttar Pradesh', 'KANPUR-208 001, Uttar Pradesh', 'Prayagraj - 211003, Uttar Pradesh', 'Distt. - Chandauli, Uttar Pradesh', 'Patna 800001, Bihar', 'Pin - 803212, Bihar', 'Pincode - 803302, Bihar', 'Pin - 851210, Bihar', 'Near Power House. 06244-223596, Bihar', 'Tel.-06421-223152, Bihar', 'Katihar 854105, Bihar', 'Dist - Uttar Dinajpur, West Bengal', 'Dist - Kishanganj, Bihar', 'Dist - Jalpaiguri, West Bengal', 'Dist - Cooch Behar, West Bengal', 'Dist - Alipurduar, West Bengal', 'Dist - Bongaigaon, Assam', 'Dist - Barpeta, Assam', 'Dist - Kamrup Rural, Assam', 'Dist - Kamrup Metropolitan, Assam', 'Dist - Kamrup Metropolitan, Assam']","Sun Jul 04, 2021",NaN
8,5632,Guwahati - Barmer Special,COVR,NFR,No TT Change,Jul 01,,GHY,10:45,BME,08:25,45h 40m,30,        T    ,2S SL 3A 2A,2453 km,54 km/hr,5631,[],"['Dist - Kamrup Metropolitan, Assam', 'Dist - Kamrup Metropolitan, Assam', 'Dist - Kamrup Rural, Assam', 'Dist - Barpeta, Assam', 'Dist - Bongaigaon, Assam', 'Dist - Alipurduar, West Bengal', 'Dist - Cooch Behar, West Bengal', 'Dist - Jalpaiguri, West Bengal', 'Dist - Kishanganj, Bihar', 'Dist - Uttar Dinajpur, West Bengal', 'Katihar 854105, Bihar', 'Tel.-06421-223152, Bihar', 'Near Power House. 06244-223596, Bihar', 'Pin - 851210, Bihar', 'Pincode - 803302, Bihar', 'Pin - 803212, Bihar', 'Patna 800001, Bihar', 'Distt. - Chandauli, Uttar Pradesh', 'Prayagraj - 211003, Uttar Pradesh', 'KANPUR-208 001, Uttar Pradesh', 'PIN 283204, Uttar Pradesh', 'PIN 282003, Uttar Pradesh', 'Agra District, Uttar Pradesh', 'Bharatpur, Rajasthan', 'Jaipur - 302006, Rajasthan', 'Palari Dist.Nagaur 341533, Rajasthan', 'Dist - Nagaur, Rajasthan', 'Dist- Nagaur, Rajasthan', 'Dist. Nagaur, Rajasthan', '342001, Rajasthan', 'Balotra, Rajasthan', '344001, Rajasthan']","Thu Jul 01, 2021",NaN
9,5634,Guwahati - Bikaner Special,COVR,NFR,No TT Change,Jun 26,,GHY,10:45,BKN,05:50,43h 5m,30,            S,2S SL 3A 2A,2313 km,54 km/hr,5633,[],"['Dist - Kamrup Metropolitan, Assam', 'Dist - Kamrup Metropolitan, Assam', 'Dist - Kamrup Rural, Assam', 'Dist - Barpeta, Assam', 'Dist - Bongaigaon, Assam', 'Dist - Alipurduar, West Bengal', 'Dist - Cooch Behar, West Bengal', 'Dist - Jalpaiguri, West Bengal', 'Dist - Kishanganj, Bihar', 'Dist - Uttar Dinajpur, West Bengal', 'Katihar 854105, Bihar', 'Tel.-06421-223152, Bihar', 'Near Power House. 06244-223596, Bihar', 'Pin - 851210, Bihar', 'Pincode - 803302, Bihar', 'Pin - 803212, Bihar', 'Patna 800001, Bihar', 'Distt. - Chandauli, Uttar Pradesh', 'Prayagraj - 211003, Uttar Pradesh', 'KANPUR-208 001, Uttar Pradesh', 'PIN 283204, Uttar Pradesh', 'PIN 282003, Uttar Pradesh', 'Agra District, Uttar Pradesh', 'Bharatpur, Rajasthan', 'Jaipur - 302006, Rajasthan', 'Palari Dist.Nagaur 341533, Rajasthan', 'Dist - Nagaur, Rajasthan', 'Dist- Nagaur, Rajasthan', 'Dist. Nagaur, Rajasthan', 'Nagaur, Rajasthan', 'Dist - Bikaner, Rajasthan', 'Rajasthan - 334001, Rajasthan']","Sat Jun 26, 2021",NaN
