,From,To,Weight
0,LAKSHADWEEP,ARUNACHAL PRADESH,1
1,ANDAMAN & NICOBAR ISLANDS,ARUNACHAL PRADESH,1
2,CHHATTISGARH,MANIPUR,1
3,DADRA & NAGAR HAVELI,MANIPUR,1
4,LAKSHADWEEP,MIZORAM,1
5,MIZORAM,LAKSHADWEEP,1
6,TRIPURA,LAKSHADWEEP,1
7,MEGHALAYA,LAKSHADWEEP,1
8,JHARKHAND,LAKSHADWEEP,1
9,ANDAMAN & NICOBAR ISLANDS,MIZORAM,2
10,UTTARAKHAND,LAKSHADWEEP,2
11,ASSAM,LAKSHADWEEP,2
12,CHHATTISGARH,LAKSHADWEEP,2
13,LAKSHADWEEP,PUDUCHERRY,2
14,DADRA & NAGAR HAVELI,SIKKIM,3
15,PUDUCHERRY,ARUNACHAL PRADESH,3
16,LAKSHADWEEP,MANIPUR,3
17,PUDUCHERRY,MIZORAM,3
18,DADRA & NAGAR HAVELI,MEGHALAYA,3
19,ANDAMAN & NICOBAR ISLANDS,MEGHALAYA,3
20,NAGALAND,DADRA & NAGAR HAVELI,3
21,TRIPURA,DADRA & NAGAR HAVELI,3
22,JAMMU & KASHMIR,LAKSHADWEEP,3
23,ARUNACHAL PRADESH,LAKSHADWEEP,3
24,DAMAN & DIU,JAMMU & KASHMIR,4
25,CHANDIGARH,MIZORAM,4
26,DADRA & NAGAR HAVELI,TRIPURA,4
27,DADRA & NAGAR HAVELI,CHHATTISGARH,4
28,MEGHALAYA,DAMAN & DIU,4
29,GOA,LAKSHADWEEP,4
30,PUDUCHERRY,LAKSHADWEEP,4
31,DAMAN & DIU,PUDUCHERRY,4
32,DADRA & NAGAR HAVELI,JAMMU & KASHMIR,5
33,PUDUCHERRY,HIMACHAL PRADESH,5
34,DADRA & NAGAR HAVELI,PUNJAB,5
35,LAKSHADWEEP,CHANDIGARH,5
36,GOA,TRIPURA,5
37,DAMAN & DIU,JHARKHAND,5
38,ARUNACHAL PRADESH,DAMAN & DIU,5
39,NAGALAND,DAMAN & DIU,5
40,PUNJAB,LAKSHADWEEP,5
41,HARYANA,LAKSHADWEEP,5
42,RAJASTHAN,LAKSHADWEEP,5
43,DAMAN & DIU,PUNJAB,6
44,DADRA & NAGAR HAVELI,NAGALAND,6
45,GUJARAT,MIZORAM,6
46,CHANDIGARH,TRIPURA,6
47,PUDUCHERRY,MEGHALAYA,6
48,DADRA & NAGAR HAVELI,ASSAM,6
49,PUDUCHERRY,DAMAN & DIU,6
50,ANDAMAN & NICOBAR ISLANDS,DADRA & NAGAR HAVELI,6
51,DADRA & NAGAR HAVELI,HIMACHAL PRADESH,7
52,DADRA & NAGAR HAVELI,CHANDIGARH,7
53,DADRA & NAGAR HAVELI,HARYANA,7
54,CHANDIGARH,ARUNACHAL PRADESH,7
55,DADRA & NAGAR HAVELI,JHARKHAND,7
56,PUDUCHERRY,DADRA & NAGAR HAVELI,7
57,NAGALAND,PUDUCHERRY,7
58,PUDUCHERRY,JAMMU & KASHMIR,8
59,NCT OF DELHI,NAGALAND,8
60,CHANDIGARH,MANIPUR,8
61,SIKKIM,TRIPURA,8
62,LAKSHADWEEP,TRIPURA,8
63,LAKSHADWEEP,GUJARAT,8
64,DAMAN & DIU,BIHAR,9
65,UTTAR PRADESH,LAKSHADWEEP,9
66,DAMAN & DIU,CHANDIGARH,10
67,CHHATTISGARH,MIZORAM,10
68,DAMAN & DIU,ODISHA,10
69,MANIPUR,DAMAN & DIU,10
70,ARUNACHAL PRADESH,DADRA & NAGAR HAVELI,10
71,BIHAR,LAKSHADWEEP,10
72,MIZORAM,ANDAMAN & NICOBAR ISLANDS,10
73,PUDUCHERRY,NAGALAND,11
74,ANDAMAN & NICOBAR ISLANDS,NAGALAND,11
75,DADRA & NAGAR HAVELI,ANDHRA PRADESH,11
76,CHANDIGARH,PUDUCHERRY,11
77,DAMAN & DIU,ANDAMAN & NICOBAR ISLANDS,11
78,GOA,MANIPUR,12
79,PUDUCHERRY,ASSAM,12
80,LAKSHADWEEP,ODISHA,12
81,HIMACHAL PRADESH,PUDUCHERRY,12
82,SIKKIM,PUDUCHERRY,12
83,SIKKIM,ANDAMAN & NICOBAR ISLANDS,12
84,LAKSHADWEEP,HIMACHAL PRADESH,13
85,LAKSHADWEEP,ANDAMAN & NICOBAR ISLANDS,13
86,DAMAN & DIU,WEST BENGAL,14
87,MIZORAM,CHHATTISGARH,14
88,LAKSHADWEEP,CHHATTISGARH,14
89,LAKSHADWEEP,GOA,14
90,MEGHALAYA,PUDUCHERRY,14
91,ARUNACHAL PRADESH,ANDAMAN & NICOBAR ISLANDS,14
92,ANDAMAN & NICOBAR ISLANDS,MANIPUR,15
93,HIMACHAL PRADESH,MIZORAM,15
94,PUDUCHERRY,TRIPURA,15
95,GOA,MEGHALAYA,15
96,MANIPUR,ANDAMAN & NICOBAR ISLANDS,15
97,LAKSHADWEEP,JHARKHAND,16
98,ARUNACHAL PRADESH,GOA,16
99,SIKKIM,MIZORAM,17
100,ARUNACHAL PRADESH,PUDUCHERRY,17
101,CHHATTISGARH,PUDUCHERRY,17
