PUDUCHERRY,CHANDIGARH,1
DAMAN & DIU,HARYANA,1
DAMAN & DIU,UTTAR PRADESH,1
CHANDIGARH,ARUNACHAL PRADESH,1
DADRA & NAGAR HAVELI,ARUNACHAL PRADESH,1
GOA,ARUNACHAL PRADESH,1
LAKSHADWEEP,ARUNACHAL PRADESH,1
CHHATTISGARH,MANIPUR,1
DADRA & NAGAR HAVELI,MANIPUR,1
GOA,MANIPUR,1
GUJARAT,MIZORAM,1
CHANDIGARH,TRIPURA,1
SIKKIM,TRIPURA,1
ANDAMAN & NICOBAR ISLANDS,MEGHALAYA,1
PUDUCHERRY,ASSAM,1
DADRA & NAGAR HAVELI,JHARKHAND,1
LAKSHADWEEP,ODISHA,1
DAMAN & DIU,CHHATTISGARH,1
DADRA & NAGAR HAVELI,CHHATTISGARH,1
LAKSHADWEEP,GUJARAT,1
UTTARAKHAND,LAKSHADWEEP,1
HARYANA,LAKSHADWEEP,1
KARNATAKA,LAKSHADWEEP,1
NAGALAND,PUDUCHERRY,1
GOA,PUDUCHERRY,1
DAMAN & DIU,BIHAR,2
PUDUCHERRY,BIHAR,2
ANDAMAN & NICOBAR ISLANDS,BIHAR,2
PUDUCHERRY,NAGALAND,2
JAMMU & KASHMIR,MANIPUR,2
PUNJAB,MANIPUR,2
SIKKIM,MANIPUR,2
DADRA & NAGAR HAVELI,TRIPURA,2
LAKSHADWEEP,TRIPURA,2
CHANDIGARH,MEGHALAYA,2
GOA,ASSAM,2
GOA,CHHATTISGARH,2
LAKSHADWEEP,CHHATTISGARH,2
PUDUCHERRY,CHHATTISGARH,2
MIZORAM,GUJARAT,2
ARUNACHAL PRADESH,DAMAN & DIU,2
MANIPUR,DAMAN & DIU,2
CHANDIGARH,DADRA & NAGAR HAVELI,2
TRIPURA,DADRA & NAGAR HAVELI,2
PUDUCHERRY,DADRA & NAGAR HAVELI,2
DAMAN & DIU,ANDHRA PRADESH,2
JAMMU & KASHMIR,LAKSHADWEEP,2
MAHARASHTRA,LAKSHADWEEP,2
ANDAMAN & NICOBAR ISLANDS,LAKSHADWEEP,2
DAMAN & DIU,KERALA,2
JAMMU & KASHMIR,PUDUCHERRY,2
CHHATTISGARH,PUDUCHERRY,2
DAMAN & DIU,HIMACHAL PRADESH,1
LAKSHADWEEP,HIMACHAL PRADESH,3
DADRA & NAGAR HAVELI,PUNJAB,3
MEGHALAYA,CHANDIGARH,3
DAMAN & DIU,CHANDIGARH,3
DADRA & NAGAR HAVELI,HARYANA,3
CHANDIGARH,SIKKIM,3
GOA,NAGALAND,3
ANDAMAN & NICOBAR ISLANDS,MANIPUR,3
SIKKIM,MIZORAM,3
GOA,MEGHALAYA,3
DADRA & NAGAR HAVELI,ASSAM,3
MEGHALAYA,DAMAN & DIU,3
NAGALAND,DADRA & NAGAR HAVELI,3
DADRA & NAGAR HAVELI,ANDHRA PRADESH,3
MIZORAM,GOA,3
DADRA & NAGAR HAVELI,GOA,3
RAJASTHAN,LAKSHADWEEP,3
UTTAR PRADESH,LAKSHADWEEP,3
DADRA & NAGAR HAVELI,KERALA,3
HIMACHAL PRADESH,PUDUCHERRY,3
SIKKIM,PUDUCHERRY,3
MANIPUR,PUDUCHERRY,3
CHANDIGARH,ANDAMAN & NICOBAR ISLANDS,3
DAMAN & DIU,RAJASTHAN,2
LAKSHADWEEP,JAMMU & KASHMIR,4
ANDAMAN & NICOBAR ISLANDS,HIMACHAL PRADESH,4
NAGALAND,CHANDIGARH,4
TRIPURA,CHANDIGARH,4
PUDUCHERRY,UTTARAKHAND,4
DAMAN & DIU,NCT OF DELHI,4
GUJARAT,SIKKIM,4
GOA,SIKKIM,4
ANDHRA PRADESH,MANIPUR,4
TAMIL NADU,MANIPUR,4
GUJARAT,TRIPURA,4
DAMAN & DIU,WEST BENGAL,4
MIZORAM,JHARKHAND,4
LAKSHADWEEP,JHARKHAND,4
DADRA & NAGAR HAVELI,ODISHA,4
PUDUCHERRY,MADHYA PRADESH,4
LAKSHADWEEP,DAMAN & DIU,4
ARUNACHAL PRADESH,DADRA & NAGAR HAVELI,4
SIKKIM,GOA,4
TRIPURA,PUDUCHERRY,4
MANIPUR,ANDAMAN & NICOBAR ISLANDS,4
PUDUCHERRY,ANDAMAN & NICOBAR ISLANDS,4
MIZORAM,JAMMU & KASHMIR,3
ANDAMAN & NICOBAR ISLANDS,JAMMU & KASHMIR,5
MIZORAM,HIMACHAL PRADESH,5
TRIPURA,HIMACHAL PRADESH,5
LAKSHADWEEP,CHANDIGARH,5
LAKSHADWEEP,UTTARAKHAND,5
PUDUCHERRY,RAJASTHAN,5
MIZORAM,BIHAR,5
GUJARAT,ARUNACHAL PRADESH,5
HIMACHAL PRADESH,MANIPUR,5
HARYANA,MANIPUR,5
DAMAN & DIU,ODISHA,5
PUDUCHERRY,ODISHA,5
ANDAMAN & NICOBAR ISLANDS,DADRA & NAGAR HAVELI,5
ARUNACHAL PRADESH,GOA,5
TRIPURA,GOA,5
MEGHALAYA,GOA,5
SIKKIM,ANDAMAN & NICOBAR ISLANDS,5
NAGALAND,JAMMU & KASHMIR,4
GOA,UTTARAKHAND,6
CHANDIGARH,BIHAR,6
GOA,BIHAR,6
ANDAMAN & NICOBAR ISLANDS,NAGALAND,6
KARNATAKA,MANIPUR,6
NCT OF DELHI,TRIPURA,6
PUDUCHERRY,MEGHALAYA,6
LAKSHADWEEP,ASSAM,6
PUDUCHERRY,JHARKHAND,6
SIKKIM,ODISHA,6
MIZORAM,ODISHA,6
DADRA & NAGAR HAVELI,MADHYA PRADESH,6
NAGALAND,ANDAMAN & NICOBAR ISLANDS,6
TRIPURA,ANDAMAN & NICOBAR ISLANDS,6
MEGHALAYA,ANDAMAN & NICOBAR ISLANDS,6
PUDUCHERRY,JAMMU & KASHMIR,5
MEGHALAYA,HIMACHAL PRADESH,7
MIZORAM,CHANDIGARH,7
MIZORAM,SIKKIM,7
TRIPURA,SIKKIM,7
CHHATTISGARH,SIKKIM,7
NCT OF DELHI,ARUNACHAL PRADESH,7
UTTARAKHAND,MANIPUR,7
NCT OF DELHI,MIZORAM,7
CHANDIGARH,JHARKHAND,7
LAKSHADWEEP,MADHYA PRADESH,7
ANDAMAN & NICOBAR ISLANDS,DAMAN & DIU,7
LAKSHADWEEP,ANDHRA PRADESH,7
LAKSHADWEEP,GOA,7
PUDUCHERRY,GOA,7
LAKSHADWEEP,TAMIL NADU,7
GOA,ANDAMAN & NICOBAR ISLANDS,7
GOA,HIMACHAL PRADESH,6
DADRA & NAGAR HAVELI,UTTARAKHAND,8
DADRA & NAGAR HAVELI,RAJASTHAN,8
DAMAN & DIU,SIKKIM,8
ANDHRA PRADESH,SIKKIM,8
MADHYA PRADESH,MANIPUR,8
CHHATTISGARH,MIZORAM,8
CHHATTISGARH,TRIPURA,8
CHANDIGARH,CHHATTISGARH,8
SIKKIM,CHHATTISGARH,8
MEGHALAYA,CHHATTISGARH,8
DAMAN & DIU,KARNATAKA,8
SIKKIM,KERALA,8
NCT OF DELHI,PUDUCHERRY,8
NAGALAND,HIMACHAL PRADESH,7
TAMIL NADU,MIZORAM,9
GOA,ODISHA,9
LAKSHADWEEP,ANDAMAN & NICOBAR ISLANDS,9
GOA,JAMMU & KASHMIR,8
PUDUCHERRY,PUNJAB,10
DADRA & NAGAR HAVELI,NCT OF DELHI,10
SIKKIM,BIHAR,10
NCT OF DELHI,SIKKIM,10
CHHATTISGARH,ARUNACHAL PRADESH,10
JAMMU & KASHMIR,MIZORAM,10
KARNATAKA,MIZORAM,10
LAKSHADWEEP,WEST BENGAL,10
DAMAN & DIU,GOA,10
ANDAMAN & NICOBAR ISLANDS,GOA,10
JAMMU & KASHMIR,ANDAMAN & NICOBAR ISLANDS,10
NCT OF DELHI,ANDAMAN & NICOBAR ISLANDS,10
PUDUCHERRY,UTTAR PRADESH,9
MAHARASHTRA,MIZORAM,11
JAMMU & KASHMIR,DADRA & NAGAR HAVELI,11
MANIPUR,DADRA & NAGAR HAVELI,11
CHANDIGARH,GOA,11
DAMAN & DIU,LAKSHADWEEP,11
MIZORAM,KERALA,11
PUNJAB,PUDUCHERRY,11
JHARKHAND,PUDUCHERRY,11
HIMACHAL PRADESH,ANDAMAN & NICOBAR ISLANDS,11
CHANDIGARH,JAMMU & KASHMIR,10
ARUNACHAL PRADESH,CHANDIGARH,12
LAKSHADWEEP,HARYANA,12
PUDUCHERRY,HARYANA,12
MEGHALAYA,BIHAR,12
MEGHALAYA,SIKKIM,12
SIKKIM,ARUNACHAL PRADESH,12
NCT OF DELHI,MANIPUR,12
JHARKHAND,MANIPUR,12
MAHARASHTRA,MANIPUR,12
TRIPURA,CHHATTISGARH,12
ANDAMAN & NICOBAR ISLANDS,MADHYA PRADESH,12
DADRA & NAGAR HAVELI,KARNATAKA,12
ANDHRA PRADESH,LAKSHADWEEP,12
HIMACHAL PRADESH,MIZORAM,11
ANDAMAN & NICOBAR ISLANDS,UTTARAKHAND,13
TRIPURA,BIHAR,13
KARNATAKA,ARUNACHAL PRADESH,13
PUNJAB,MIZORAM,13
PUNJAB,TRIPURA,13
CHANDIGARH,DAMAN & DIU,13
DADRA & NAGAR HAVELI,LAKSHADWEEP,13
UTTARAKHAND,ANDAMAN & NICOBAR ISLANDS,13
MANIPUR,HIMACHAL PRADESH,12
ODISHA,MANIPUR,14
HIMACHAL PRADESH,TRIPURA,14
PUDUCHERRY,WEST BENGAL,14
MEGHALAYA,JHARKHAND,14
NAGALAND,CHHATTISGARH,14
ANDAMAN & NICOBAR ISLANDS,CHHATTISGARH,14
SIKKIM,GUJARAT,14
TRIPURA,KERALA,14
MIZORAM,UTTARAKHAND,13
ANDAMAN & NICOBAR ISLANDS,ASSAM,15
NAGALAND,JHARKHAND,15
DAMAN & DIU,MADHYA PRADESH,15
LAKSHADWEEP,RAJASTHAN,14
NAGALAND,SIKKIM,16
SIKKIM,NAGALAND,16
ARUNACHAL PRADESH,MANIPUR,16
NAGALAND,ODISHA,16
WEST BENGAL,LAKSHADWEEP,16
GUJARAT,LAKSHADWEEP,16
CHANDIGARH,ASSAM,15
ANDAMAN & NICOBAR ISLANDS,JHARKHAND,17
CHANDIGARH,ODISHA,17
NAGALAND,GOA,17
MIZORAM,TAMIL NADU,17
ANDAMAN & NICOBAR ISLANDS,HARYANA,16
MAHARASHTRA,SIKKIM,18
GOA,JHARKHAND,18
MANIPUR,CHHATTISGARH,18
PUDUCHERRY,GUJARAT,18
GOA,DADRA & NAGAR HAVELI,18
SIKKIM,JAMMU & KASHMIR,17
SIKKIM,PUNJAB,19
MIZORAM,RAJASTHAN,19
NAGALAND,BIHAR,19
MEGHALAYA,MANIPUR,19
ODISHA,MIZORAM,19
ANDHRA PRADESH,MIZORAM,19
ARUNACHAL PRADESH,JHARKHAND,19
JAMMU & KASHMIR,DAMAN & DIU,19
SIKKIM,ANDHRA PRADESH,19
ANDAMAN & NICOBAR ISLANDS,PUDUCHERRY,19
MEGHALAYA,JAMMU & KASHMIR,18
MIZORAM,HARYANA,20
MEGHALAYA,HARYANA,20
GOA,HARYANA,20
TAMIL NADU,SIKKIM,20
ANDAMAN & NICOBAR ISLANDS,ODISHA,20
ARUNACHAL PRADESH,CHHATTISGARH,20
HARYANA,PUDUCHERRY,20
TRIPURA,JAMMU & KASHMIR,19
ANDAMAN & NICOBAR ISLANDS,CHANDIGARH,21
ANDAMAN & NICOBAR ISLANDS,UTTAR PRADESH,21
MADHYA PRADESH,SIKKIM,21
MIZORAM,ARUNACHAL PRADESH,21
SIKKIM,MEGHALAYA,21
DADRA & NAGAR HAVELI,WEST BENGAL,21
MEGHALAYA,ODISHA,21
SIKKIM,CHANDIGARH,20
SIKKIM,JHARKHAND,22
ARUNACHAL PRADESH,ODISHA,22
TRIPURA,ODISHA,22
CHANDIGARH,MADHYA PRADESH,22
MEGHALAYA,GUJARAT,22
GOA,DAMAN & DIU,22
GOA,PUNJAB,21
ANDAMAN & NICOBAR ISLANDS,RAJASTHAN,23
MIZORAM,UTTAR PRADESH,23
KERALA,SIKKIM,23
MADHYA PRADESH,MIZORAM,23
CHHATTISGARH,MEGHALAYA,23
ARUNACHAL PRADESH,ANDHRA PRADESH,23
MADHYA PRADESH,PUDUCHERRY,23
MADHYA PRADESH,ANDAMAN & NICOBAR ISLANDS,23
JAMMU & KASHMIR,TRIPURA,22
DADRA & NAGAR HAVELI,UTTAR PRADESH,24
ANDHRA PRADESH,ARUNACHAL PRADESH,24
SIKKIM,ASSAM,24
